film_id,title,rental_duration,rental_rate,category_id,name
1,ACADEMY DINOSAUR,6,0.99,6,Documentary
2,ACE GOLDFINGER,3,4.99,11,Horror
3,ADAPTATION HOLES,7,2.99,6,Documentary
4,AFFAIR PREJUDICE,5,2.99,11,Horror
5,AFRICAN EGG,6,2.99,8,Family
6,AGENT TRUMAN,3,2.99,9,Foreign
7,AIRPLANE SIERRA,6,4.99,5,Comedy
8,AIRPORT POLLOCK,6,4.99,11,Horror
9,ALABAMA DEVIL,3,2.99,11,Horror
10,ALADDIN CALENDAR,6,4.99,15,Sports
11,ALAMO VIDEOTAPE,6,0.99,9,Foreign
12,ALASKA PHANTOM,6,0.99,12,Music
13,ALI FOREVER,4,4.99,11,Horror
14,ALICE FANTASIA,6,0.99,4,Classics
15,ALIEN CENTER,5,2.99,9,Foreign
16,ALLEY EVOLUTION,6,2.99,9,Foreign
17,ALONE TRIP,3,0.99,12,Music
18,ALTER VICTORY,6,0.99,2,Animation
19,AMADEUS HOLY,6,0.99,1,Action
20,AMELIE HELLFIGHTERS,4,4.99,12,Music
21,AMERICAN CIRCUS,3,4.99,1,Action
22,AMISTAD MIDSUMMER,6,2.99,13,New
23,ANACONDA CONFESSIONS,3,0.99,2,Animation
24,ANALYZE HOOSIERS,6,2.99,11,Horror
25,ANGELS LIFE,3,2.99,13,New
26,ANNIE IDENTITY,3,0.99,14,Sci-Fi
27,ANONYMOUS HUMAN,7,0.99,15,Sports
28,ANTHEM LUKE,5,4.99,5,Comedy
29,ANTITRUST TOMATOES,5,2.99,1,Action
30,ANYTHING SAVANNAH,4,2.99,11,Horror
31,APACHE DIVINE,5,4.99,8,Family
32,APOCALYPSE FLAMINGOS,6,4.99,13,New
33,APOLLO TEEN,5,2.99,7,Drama
34,ARABIA DOGMA,6,0.99,11,Horror
35,ARACHNOPHOBIA ROLLERCOASTER,4,2.99,11,Horror
36,ARGONAUTS TOWN,7,0.99,2,Animation
37,ARIZONA BANG,3,2.99,4,Classics
38,ARK RIDGEMONT,6,0.99,1,Action
39,ARMAGEDDON LOST,5,0.99,14,Sci-Fi
40,ARMY FLINTSTONES,4,0.99,6,Documentary
41,ARSENIC INDEPENDENCE,4,0.99,16,Travel
42,ARTIST COLDBLOODED,5,2.99,15,Sports
43,ATLANTIS CAUSE,6,2.99,8,Family
44,ATTACKS HATE,5,4.99,14,Sci-Fi
45,ATTRACTION NEWTON,5,4.99,13,New
46,AUTUMN CROW,3,4.99,10,Games
47,BABY HALL,5,4.99,9,Foreign
48,BACKLASH UNDEFEATED,3,4.99,3,Children
49,BADMAN DAWN,6,2.99,14,Sci-Fi
50,BAKED CLEOPATRA,3,2.99,8,Family
51,BALLOON HOMEWARD,5,2.99,12,Music
52,BALLROOM MOCKINGBIRD,6,0.99,9,Foreign
53,BANG KWAI,5,2.99,8,Family
54,BANGER PINOCCHIO,5,0.99,12,Music
55,BARBARELLA STREETCAR,6,2.99,14,Sci-Fi
56,BAREFOOT MANCHURIAN,6,2.99,1,Action
57,BASIC EASY,4,2.99,16,Travel
58,BEACH HEARTBREAKERS,6,2.99,6,Documentary
59,BEAR GRACELAND,4,2.99,3,Children
60,BEAST HUNCHBACK,3,4.99,4,Classics
61,BEAUTY GREASE,5,4.99,7,Drama
62,BED HIGHBALL,5,2.99,6,Documentary
63,BEDAZZLED MARRIED,6,0.99,8,Family
64,BEETHOVEN EXORCIST,6,0.99,7,Drama
65,BEHAVIOR RUNAWAY,3,4.99,11,Horror
66,BENEATH RUSH,6,0.99,3,Children
67,BERETS AGENT,5,2.99,1,Action
68,BETRAYED REAR,5,4.99,3,Children
69,BEVERLY OUTLAW,3,2.99,14,Sci-Fi
70,BIKINI BORROWERS,7,4.99,2,Animation
71,BILKO ANONYMOUS,3,4.99,8,Family
72,BILL OTHERS,6,2.99,6,Documentary
73,BINGO TALENTED,5,2.99,14,Sci-Fi
74,BIRCH ANTITRUST,4,4.99,12,Music
75,BIRD INDEPENDENCE,6,4.99,16,Travel
76,BIRDCAGE CASPER,4,0.99,12,Music
77,BIRDS PERDITION,5,4.99,13,New
78,BLACKOUT PRIVATE,7,2.99,2,Animation
79,BLADE POLISH,5,0.99,7,Drama
80,BLANKET BEVERLY,7,2.99,8,Family
81,BLINDNESS GUN,6,4.99,14,Sci-Fi
82,BLOOD ARGONAUTS,3,0.99,8,Family
83,BLUES INSTINCT,5,2.99,8,Family
84,BOILED DARES,7,4.99,16,Travel
85,BONNIE HOLOCAUST,4,0.99,6,Documentary
86,BOOGIE AMELIE,6,4.99,12,Music
87,BOONDOCK BALLROOM,7,0.99,16,Travel
88,BORN SPINAL,7,4.99,16,Travel
89,BORROWERS BEDAZZLED,7,0.99,2,Animation
90,BOULEVARD MOB,3,0.99,13,New
91,BOUND CHEAPER,5,0.99,4,Classics
92,BOWFINGER GABLES,7,4.99,11,Horror
93,BRANNIGAN SUNRISE,4,4.99,13,New
94,BRAVEHEART HUMAN,7,2.99,8,Family
95,BREAKFAST GOLDFINGER,5,4.99,13,New
96,BREAKING HOME,4,2.99,13,New
97,BRIDE INTRIGUE,7,0.99,1,Action
98,BRIGHT ENCOUNTERS,4,4.99,7,Drama
99,BRINGING HYSTERICAL,7,2.99,5,Comedy
100,BROOKLYN DESERT,7,4.99,9,Foreign
101,BROTHERHOOD BLANKET,3,0.99,6,Documentary
102,BUBBLE GROSSE,4,4.99,15,Sports
103,BUCKET BROTHERHOOD,7,4.99,16,Travel
104,BUGSY SONG,4,2.99,9,Foreign
105,BULL SHAWSHANK,6,0.99,1,Action
106,BULWORTH COMMANDMENTS,4,2.99,10,Games
107,BUNCH MINDS,4,2.99,7,Drama
108,BUTCH PANTHER,6,0.99,13,New
109,BUTTERFLY CHOCOLAT,3,0.99,13,New
110,CABIN FLASH,4,0.99,3,Children
111,CADDYSHACK JEDI,3,0.99,1,Action
112,CALENDAR GUNFIGHT,4,4.99,9,Foreign
113,CALIFORNIA BIRDS,4,4.99,15,Sports
114,CAMELOT VACATION,3,0.99,14,Sci-Fi
115,CAMPUS REMEMBER,5,2.99,1,Action
116,CANDIDATE PERDITION,4,2.99,4,Classics
117,CANDLES GRAPES,6,4.99,10,Games
118,CANYON STOCK,7,0.99,2,Animation
119,CAPER MOTIONS,6,0.99,5,Comedy
120,CARIBBEAN LIBERTY,3,4.99,15,Sports
121,CAROL TEXAS,4,2.99,2,Animation
122,CARRIE BUNCH,7,0.99,11,Horror
123,CASABLANCA SUPER,6,4.99,16,Travel
124,CASPER DRAGONFLY,3,4.99,3,Children
125,CASSIDY WYOMING,5,2.99,16,Travel
126,CASUALTIES ENCINO,3,4.99,1,Action
127,CAT CONEHEADS,5,4.99,5,Comedy
128,CATCH AMISTAD,7,0.99,9,Foreign
129,CAUSE DATE,3,2.99,6,Documentary
130,CELEBRITY HORN,7,0.99,1,Action
131,CENTER DINOSAUR,5,4.99,4,Classics
