rental_id,inventory_id,customer_id,country,notes,film_id,title,language_id,name,rating,category_id,name
1,367,130,Brazil,active,80,BLANKET BEVERLY,1,English,G,8,Family
9,2580,126,Brazil,active,565,MATRIX SNOWMAN,1,English,PG-13,9,Foreign
80,2478,314,Brazil,active,543,MADIGAN DORADO,1,English,R,16,Travel
82,1388,427,Brazil,active,304,FARGO GANDHI,1,English,G,3,Children
104,4281,310,Brazil,active,932,VALLEY PACKER,1,English,G,5,Comedy
124,212,246,Brazil,active,48,BACKLASH UNDEFEATED,1,English,PG-13,3,Children
131,815,325,Brazil,active,177,CONNECTICUT TRAMP,1,English,R,14,Sci-Fi
140,655,354,Brazil,active,142,CHICKEN HELLFIGHTERS,1,English,PG,6,Documentary
155,288,551,Brazil,active,65,BEHAVIOR RUNAWAY,1,English,PG,11,Horror
158,2395,354,Brazil,active,523,LIGHTS DEER,1,English,R,4,Classics
175,4346,47,Brazil,active,947,VISION TORQUE,1,English,PG-13,9,Foreign
183,2877,254,Brazil,active,631,NOVOCAINE FLIGHT,1,English,G,15,Sports
207,102,47,Brazil,active,21,AMERICAN CIRCUS,1,English,R,1,Action
271,2388,92,Brazil,active,521,LIES TREATMENT,1,English,NC-17,7,Drama
300,249,47,Brazil,active,56,BAREFOOT MANCHURIAN,1,English,G,1,Action
319,3024,77,Brazil,active,664,PATRIOT ROMAN,1,English,PG,1,Action
382,4358,183,Brazil,active,949,VOLCANO TEXAS,1,English,NC-17,10,Games
397,4193,544,Brazil,active,912,TROJAN TOMORROW,1,English,PG,14,Sci-Fi
402,461,354,Brazil,active,101,BROTHERHOOD BLANKET,1,English,R,6,Documentary
413,3516,307,Brazil,active,770,SCISSORHANDS SLUMS,1,English,G,9,Foreign
419,2514,77,Brazil,active,552,MAJESTIC FLOATS,1,English,PG,6,Documentary
421,2985,246,Brazil,active,654,PANKY SUBMARINE,1,English,G,10,Games
434,3360,246,Brazil,active,738,ROCKETEER MOTHER,1,English,PG-13,9,Foreign
440,4452,314,Brazil,active,973,WIFE TURN,1,English,NC-17,6,Documentary
456,1699,92,Brazil,active,370,GORGEOUS BINGO,1,English,R,3,Children
486,1822,398,Brazil,active,396,HANGING DEEP,1,English,G,7,Drama
521,2397,374,Brazil,active,524,LION UNCUT,1,English,PG,5,Comedy
535,4209,307,Brazil,active,915,TRUMAN CRAZY,1,English,G,1,Action
561,928,77,Brazil,active,206,DANCING FEVER,1,English,G,6,Documentary
586,898,77,Brazil,active,200,CURTAIN VIDEOTAPE,1,English,PG-13,10,Games
614,280,307,Brazil,active,63,BEDAZZLED MARRIED,1,English,PG,8,Family
699,130,246,Brazil,active,26,ANNIE IDENTITY,1,English,G,14,Sci-Fi
728,242,551,Brazil,active,55,BARBARELLA STREETCAR,1,English,G,14,Sci-Fi
746,4272,130,Brazil,active,930,VACATION BOONDOCK,1,English,R,14,Sci-Fi
752,1720,126,Brazil,active,375,GRAIL FRANKENSTEIN,1,English,NC-17,1,Action
760,3250,77,Brazil,active,715,RANGE MOONWALKER,1,English,PG,8,Family
795,609,551,Brazil,active,132,CHAINSAW UPTOWN,1,English,PG,14,Sci-Fi
864,2777,544,Brazil,active,609,MUSCLE BRIGHT,1,English,G,16,Travel
910,2601,374,Brazil,active,571,METAL ARMAGEDDON,1,English,PG-13,6,Documentary
919,4052,374,Brazil,active,882,TENENBAUMS COMMAND,1,English,PG-13,7,Drama
969,443,551,Brazil,active,98,BRIGHT ENCOUNTERS,1,English,PG-13,7,Drama
970,1520,307,Brazil,active,331,FORWARD TEMPLE,1,English,NC-17,10,Games
997,4243,216,Brazil,active,922,UNDEFEATED DALMATIONS,1,English,PG-13,11,Horror
1005,4006,551,Brazil,active,872,SWEET BROTHERHOOD,1,English,R,16,Travel
1035,949,362,Brazil,active,211,DARLING BREAKING,1,English,PG-13,10,Games
1051,1025,246,Brazil,active,229,DEVIL DESIRE,1,English,R,1,Action
1054,1575,126,Brazil,active,346,GALAXY SWEETHEARTS,1,English,R,4,Classics
1068,150,443,Brazil,active,31,APACHE DIVINE,1,English,NC-17,8,Family
1108,2562,254,Brazil,active,561,MASK PEACH,1,English,NC-17,13,New
1121,1691,74,Brazil,active,369,GOODFELLAS SALUTE,1,English,PG,14,Sci-Fi
1162,987,310,Brazil,active,220,DEER VIRGINIAN,1,English,NC-17,12,Music
1228,4473,398,Brazil,active,977,WINDOW SIDE,1,English,R,16,Travel
1248,3878,544,Brazil,active,848,STONE FIRE,1,English,G,16,Travel
1279,698,183,Brazil,active,153,CITIZEN SHREK,1,English,G,14,Sci-Fi
1285,1054,254,Brazil,active,234,DISTURBING SCARFACE,1,English,R,14,Sci-Fi
1292,4535,178,Brazil,active,989,WORKING MICROCOSMOS,1,English,R,16,Travel
1333,448,310,Brazil,active,99,BRINGING HYSTERICAL,1,English,PG,5,Comedy
1342,4429,427,Brazil,active,968,WEREWOLF LOLA,1,English,G,1,Action
1390,4502,254,Brazil,active,982,WOMEN DORADO,1,English,R,1,Action
1418,2974,591,Brazil,active,651,PACKER MADIGAN,1,English,PG-13,2,Animation
1429,4116,362,Brazil,active,895,TOMORROW HUSTLER,1,English,R,4,Classics
1434,4228,544,Brazil,active,919,TYCOON GATHERING,1,English,G,10,Games
1448,2781,246,Brazil,active,610,MUSIC BOONDOCK,1,English,R,8,Family
1458,3546,178,Brazil,active,775,SEATTLE EXPECATIONS,1,English,PG-13,7,Drama
1461,4479,216,Brazil,active,979,WITCHES PANIC,1,English,NC-17,7,Drama
1491,848,354,Brazil,active,186,CRAFT OUTFIELD,1,English,NC-17,7,Drama
1529,1688,362,Brazil,active,368,GONE TROUBLE,1,English,R,7,Drama
1548,2094,374,Brazil,active,454,IMPACT ALADDIN,1,English,PG-13,12,Music
1568,635,178,Brazil,active,138,CHARIOTS CONSPIRACY,1,English,R,14,Sci-Fi
1598,4171,314,Brazil,active,907,TRANSLATION SUMMER,1,English,PG-13,7,Drama
1615,3894,362,Brazil,active,850,STORY SIDE,1,English,R,1,Action
1624,1066,314,Brazil,active,237,DIVORCE SHINING,1,English,G,15,Sports
1625,3367,39,Brazil,active,738,ROCKETEER MOTHER,1,English,PG-13,9,Foreign
1628,868,427,Brazil,active,191,CROOKED FROGMEN,1,English,PG-13,3,Children
1630,2413,130,Brazil,active,526,LOCK REAR,1,English,R,16,Travel
1648,457,427,Brazil,active,101,BROTHERHOOD BLANKET,1,English,R,6,Documentary
1664,2464,216,Brazil,active,538,LOVERBOY ATTACKS,1,English,PG-13,13,New
