film_id,title,release_year,rental_date,return_date
1,ACADEMY DINOSAUR,2006,2005-07-08 19:03:15.000,2005-07-11 21:29:15.000
1,ACADEMY DINOSAUR,2006,2005-08-02 20:13:10.000,2005-08-11 21:35:10.000
1,ACADEMY DINOSAUR,2006,2005-08-21 21:27:43.000,2005-08-30 22:26:43.000
1,ACADEMY DINOSAUR,2006,2005-05-30 20:21:07.000,2005-06-06 00:36:07.000
1,ACADEMY DINOSAUR,2006,2005-06-17 20:24:00.000,2005-06-23 17:45:00.000
1,ACADEMY DINOSAUR,2006,2005-07-07 10:41:31.000,2005-07-11 06:25:31.000
1,ACADEMY DINOSAUR,2006,2005-07-30 22:02:34.000,2005-08-06 02:09:34.000
1,ACADEMY DINOSAUR,2006,2005-08-23 01:01:01.000,2005-08-30 20:08:01.000
1,ACADEMY DINOSAUR,2006,2005-07-31 21:36:07.000,2005-08-03 23:59:07.000
1,ACADEMY DINOSAUR,2006,2005-08-22 23:56:37.000,2005-08-25 18:58:37.000
1,ACADEMY DINOSAUR,2006,2005-08-02 00:47:19.000,2005-08-03 00:02:19.000
1,ACADEMY DINOSAUR,2006,2005-08-21 18:32:42.000,2005-08-23 21:09:42.000
1,ACADEMY DINOSAUR,2006,,
1,ACADEMY DINOSAUR,2006,2005-05-27 07:03:28.000,2005-05-31 08:01:28.000
1,ACADEMY DINOSAUR,2006,2005-06-21 00:30:26.000,2005-06-28 03:42:26.000
1,ACADEMY DINOSAUR,2006,2005-07-07 20:59:06.000,2005-07-09 00:04:06.000
1,ACADEMY DINOSAUR,2006,2005-07-27 07:51:11.000,2005-08-01 04:08:11.000
1,ACADEMY DINOSAUR,2006,2005-08-21 00:30:32.000,
1,ACADEMY DINOSAUR,2006,2005-06-15 02:57:51.000,2005-06-20 01:41:51.000
1,ACADEMY DINOSAUR,2006,2005-07-10 13:07:31.000,2005-07-16 13:03:31.000
1,ACADEMY DINOSAUR,2006,2005-07-29 09:41:38.000,2005-08-05 05:30:38.000
1,ACADEMY DINOSAUR,2006,2005-08-22 00:44:08.000,2005-08-27 02:18:08.000
1,ACADEMY DINOSAUR,2006,2005-07-31 22:08:29.000,2005-08-06 16:59:29.000
1,ACADEMY DINOSAUR,2006,2005-08-18 18:36:16.000,2005-08-22 22:01:16.000
2,ACE GOLDFINGER,2006,2005-08-01 04:24:47.000,2005-08-04 05:36:47.000
2,ACE GOLDFINGER,2006,2006-02-14 15:16:03.000,
2,ACE GOLDFINGER,2006,2005-07-07 19:46:51.000,2005-07-08 21:55:51.000
2,ACE GOLDFINGER,2006,2005-07-28 05:04:47.000,2005-08-05 05:12:47.000
2,ACE GOLDFINGER,2006,2005-08-22 16:59:05.000,2005-08-30 17:01:05.000
2,ACE GOLDFINGER,2006,2005-08-02 04:41:17.000,2005-08-09 02:13:17.000
2,ACE GOLDFINGER,2006,2005-08-17 09:33:02.000,2005-08-24 05:03:02.000
3,ADAPTATION HOLES,2006,2005-07-27 01:21:19.000,2005-07-29 20:33:19.000
3,ADAPTATION HOLES,2006,2005-08-22 03:52:21.000,2005-08-25 04:50:21.000
3,ADAPTATION HOLES,2006,2005-08-02 15:45:10.000,2005-08-03 21:14:10.000
3,ADAPTATION HOLES,2006,2005-08-23 13:54:39.000,2005-08-26 10:17:39.000
3,ADAPTATION HOLES,2006,2005-05-31 04:50:07.000,2005-06-02 01:53:07.000
3,ADAPTATION HOLES,2006,2005-06-15 18:17:28.000,2005-06-16 15:47:28.000
3,ADAPTATION HOLES,2006,2005-07-06 19:11:43.000,2005-07-11 21:50:43.000
3,ADAPTATION HOLES,2006,2005-08-01 08:51:04.000,2005-08-10 12:12:04.000
3,ADAPTATION HOLES,2006,2005-08-17 13:16:38.000,2005-08-18 11:21:38.000
3,ADAPTATION HOLES,2006,2005-07-06 22:01:51.000,2005-07-12 21:35:51.000
3,ADAPTATION HOLES,2006,2005-07-27 23:19:29.000,2005-07-29 23:04:29.000
3,ADAPTATION HOLES,2006,2005-08-18 21:45:15.000,2005-08-24 15:52:15.000
4,AFFAIR PREJUDICE,2006,2005-07-12 02:40:41.000,2005-07-16 04:56:41.000
4,AFFAIR PREJUDICE,2006,2005-07-30 02:30:07.000,2005-08-02 08:24:07.000
4,AFFAIR PREJUDICE,2006,2005-08-22 21:16:54.000,2005-08-31 00:38:54.000
4,AFFAIR PREJUDICE,2006,2005-05-31 00:06:02.000,2005-06-06 02:30:02.000
